city,admin_name
Karachi,Sindh
Lahore,Punjab
Sialkot City,Punjab
Faisalabad,Punjab
Rawalpindi,Punjab
Peshawar,Khyber Pakhtunkhwa
Saidu Sharif,Khyber Pakhtunkhwa
Multan,Punjab
Gujranwala,Punjab
Islamabad,Islamabad
Quetta,Balochistan
Bahawalpur,Punjab
Sargodha,Punjab
New Mirpur,Azad Kashmir
Chiniot,Punjab
Sukkur,Sindh
Larkana,Sindh
Shekhupura,Punjab
Jhang City,Punjab
Rahimyar Khan,Punjab
Gujrat,Punjab
Kasur,Punjab
Mardan,Khyber Pakhtunkhwa
Mingaora,Khyber Pakhtunkhwa
Dera Ghazi Khan,Punjab
Nawabshah,Sindh
Sahiwal,Punjab
Mirpur Khas,Sindh
Okara,Punjab
Mandi Burewala,Punjab
Jacobabad,Sindh
Saddiqabad,Punjab
Kohat,Khyber Pakhtunkhwa
Muridke,Punjab
Muzaffargarh,Punjab
Khanpur,Punjab
Gojra,Punjab
Mandi Bahauddin,Punjab
Abbottabad,Khyber Pakhtunkhwa
Dadu,Sindh
Khuzdar,Balochistan
Pakpattan,Punjab
Tando Allahyar,Sindh
Vihari,Punjab
Jaranwala,Punjab
Kamalia,Punjab
Kot Addu,Punjab
Nowshera,Khyber Pakhtunkhwa
Swabi,Khyber Pakhtunkhwa
Dera Ismail Khan,Khyber Pakhtunkhwa
Chaman,Balochistan
Charsadda,Khyber Pakhtunkhwa
Kandhkot,Sindh
Hasilpur,Punjab
Muzaffarabad,Azad Kashmir
Mianwali,Punjab
Jalalpur Jattan,Punjab
Bhakkar,Punjab
Zhob,Balochistan
Kharian,Punjab
Mian Channun,Punjab
Jamshoro,Sindh
Pattoki,Punjab
Harunabad,Punjab
Toba Tek Singh,Punjab
Shakargarh,Punjab
Hujra Shah Muqim,Punjab
Kabirwala,Punjab
Mansehra,Khyber Pakhtunkhwa
Lala Musa,Punjab
Nankana Sahib,Punjab
Bannu,Khyber Pakhtunkhwa
Timargara,Khyber Pakhtunkhwa
Parachinar,Khyber Pakhtunkhwa
Gwadar,Balochistan
Abdul Hakim,Punjab
Hassan Abdal,Punjab
Tank,Khyber Pakhtunkhwa
Hangu,Khyber Pakhtunkhwa
Risalpur Cantonment,Khyber Pakhtunkhwa
Karak,Khyber Pakhtunkhwa
Kundian,Punjab
Umarkot,Sindh
Chitral,Khyber Pakhtunkhwa
Dainyor,Gilgit-Baltistan
Kulachi,Khyber Pakhtunkhwa
Kotli,Azad Kashmir
Gilgit,Gilgit-Baltistan
Hyderabad City,Sindh
Narowal,Punjab
Khairpur Mir’s,Sindh
Khanewal,Punjab
Jhelum,Punjab
Haripur,Khyber Pakhtunkhwa
Shikarpur,Sindh
Rawala Kot,Azad Kashmir
Hafizabad,Punjab
Lodhran,Punjab
Malakand,Khyber Pakhtunkhwa
Attock City,Punjab
Batgram,Khyber Pakhtunkhwa
Matiari,Sindh
Ghotki,Sindh
Naushahro Firoz,Sindh
Alpurai,Khyber Pakhtunkhwa
Bagh,Azad Kashmir
Daggar,Khyber Pakhtunkhwa
Bahawalnagar,Punjab
Leiah,Punjab
Tando Muhammad Khan,Sindh
Chakwal,Punjab
Khushab,Punjab
Badin,Sindh
Lakki,Khyber Pakhtunkhwa
Rajanpur,Punjab
Dera Allahyar,Balochistan
Shahdad Kot,Sindh
Pishin,Balochistan
Sanghar,Sindh
Upper Dir,Khyber Pakhtunkhwa
Thatta,Sindh
Dera Murad Jamali,Balochistan
Kohlu,Balochistan
Mastung,Balochistan
Dasu,Khyber Pakhtunkhwa
Athmuqam,Azad Kashmir
Loralai,Balochistan
Barkhan,Balochistan
Musa Khel Bazar,Balochistan
Ziarat,Balochistan
Gandava,Balochistan
Sibi,Balochistan
Dera Bugti,Balochistan
Eidgah,Gilgit-Baltistan
Turbat,Balochistan
Uthal,Balochistan
Khuzdar,Balochistan
Chilas,Gilgit-Baltistan
Kalat,Balochistan
Panjgur,Balochistan
Gakuch,Gilgit-Baltistan
Qila Saifullah,Balochistan
Kharan,Balochistan
Aliabad,Gilgit-Baltistan
Awaran,Balochistan
Dalbandin,Balochistan
